time,seconds_elapsed,z,y,x
1727089233865511200,0.14051123046875,-0.10527700185775757,0.020702999085187912,0.18574999272823334
1727089233922287900,0.197287841796875,-0.05765200033783913,-0.010695000179111958,0.13383300602436066
1727089233979064800,0.25406494140625,-0.10558400303125381,0.005417000036686659,0.08868899941444397
1727089234035841800,0.310841796875,-0.1031079962849617,0.0014530000044032931,0.06688600033521652
1727089234092618500,0.367618408203125,-0.10303299874067307,0.020478999242186546,0.02006400004029274
1727089234149395500,0.4243955078125,-0.08856599777936935,-0.019085999578237534,0.023768000304698944
1727089234206172200,0.481172119140625,-0.08610200136899948,-0.003092000028118491,0.011101000010967255
1727089234262949400,0.537949462890625,-0.10277999937534332,0.0030219999607652426,0.027216000482439995
1727089234319726000,0.59472607421875,-0.08837799727916718,-0.018418999388813972,0.012922000139951706
1727089234376503000,0.6515029296875,-0.07397399842739105,0.014419999904930592,-0.013770000077784061
1727089234433280000,0.708280029296875,-0.1122480034828186,-0.007654000073671341,-0.004513999912887812
1727089234490057000,0.765056884765625,-0.09070300310850143,0.002650999929755926,-0.0009200000204145908
1727089234546833700,0.821833740234375,-0.10505899786949158,0.01659099943935871,0.006128000095486641
1727089234603610600,0.878610595703125,-0.08586999773979187,-0.004616000223904848,-0.010405000299215317
1727089234660387000,0.935386962890625,-0.08107200264930725,-0.008318999782204628,-0.017842000350356102
1727089234717164000,0.9921640625,-0.07869300246238708,-0.003172999946400523,0.002022000029683113
1727089234773941000,1.04894091796875,-0.0763389989733696,0.00022200000239536166,0.008801000192761421
1727089234830717700,1.1057177734375,-0.20753400027751923,0.1042959988117218,0.2160869985818863
1727089234887494400,1.162494384765625,-0.09302499890327454,-0.12996000051498413,0.16345900297164917
1727089234944271400,1.219271240234375,-0.0693570002913475,-0.001673000049777329,-0.022501999512314796
1727089235001048000,1.276048095703125,-0.10764899849891663,0.0003910000086762011,-0.0062939999625086784
1727089235057825000,1.332824951171875,-0.0716869980096817,0.02416200004518032,-0.08827800303697586
1727089235114601500,1.3896015625,-0.10965099930763245,0.040741000324487686,0.0038509999867528677
1727089235171378200,1.446378173828125,-0.07629700005054474,-0.09780099987983704,0.06844700127840042
1727089235228155100,1.503155029296875,-0.09106100350618362,0.019461000338196754,-0.011494000442326069
1727089235284931800,1.559931884765625,-0.07415299862623215,0.07966800034046173,-0.045552000403404236
1727089235341708300,1.616708251953125,-0.07560800015926361,0.21171599626541138,-0.04224799945950508
1727089235398485000,1.673485107421875,-0.04865499958395958,0.10790800303220749,-0.02160399965941906
1727089235455262000,1.730261962890625,-0.11041100323200226,-0.052285000681877136,0.010052000172436237
1727089235512038400,1.787038330078125,-0.12401100248098373,-0.11703599989414215,0.006122000049799681
1727089235568815000,1.843815185546875,-0.11651100218296051,-0.08965100347995758,0.0919250026345253
1727089235625591800,1.900591796875,0.05792199820280075,0.0790409967303276,0.011722000315785408
1727089235682368300,1.9573681640625,-0.06853300333023071,0.6114889979362488,-0.4388119876384735
1727089235739145000,2.01414501953125,-0.15371400117874146,-0.08107899874448776,-0.008750000037252903
1727089235795922000,2.070921875,-0.10658299922943115,-0.06038700044155121,-0.04268300160765648
1727089235852698000,2.127697998046875,-0.14002299308776855,0.03390999883413315,-0.06901899725198746
1727089235909474800,2.184474853515625,-0.18128499388694763,0.28157898783683777,-0.04772299900650978
1727089235966251500,2.24125146484375,-0.08453299850225449,0.19646599888801575,-0.1491370052099228
1727089236023028000,2.298028076171875,-0.01614999957382679,0.1277189999818802,0.03929100185632706
1727089236079804700,2.3548046875,-0.1873289942741394,-0.2192229926586151,0.12266699969768524
